Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0145534440387505,-0.000194962536281741,0.166797966297387,0,0,0,0.45300834254569,0.000649039064047301,2.091334364037E-07,2.71984437268521E-08,0.000262489787577035,-9.75821657075913E-08,0.000457894086631493,0,0,0,0,0,0,package://mark_1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mark_1/meshes/base_link.STL,,Torso-1;right arm-1/bracket-6;right arm-1/servo holder-5;right arm-1/ST3215-1/ST3215.step-1/SG-ZIJI_15.step-1;right arm-1/ST3215-1/ST3215.step-1/ZK_122.step-1;right arm-1/ST3215-1/ST3215.step-1/XG-ZIJI_16.step-1;left arm-1/servo holder-5;left arm-1/bracket-6;left arm-1/ST3215-1/ST3215.step-1/SG-ZIJI_15.step-1;left arm-1/ST3215-1/ST3215.step-1/ZK_122.step-1;left arm-1/ST3215-1/ST3215.step-1/XG-ZIJI_16.step-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_shoulder_link,-0.00226940414982798,0.000197605198601195,0.0070273931795623,0,0,0,0.00776072596587416,2.08656859916159E-06,1.92166683726886E-08,-2.6016315266565E-10,7.44932189618317E-07,-2.40733879720067E-12,1.96444856027833E-06,0,0,0,0,0,0,package://mark_1/meshes/right_shoulder_link.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://mark_1/meshes/right_shoulder_link.STL,,right arm-1/ST3215-1/ST3215.step-1/金属舵盘（从动）.step-1;right arm-1/ST3215-1/ST3215.step-1/金属舵盘（驱动）.step-1;right arm-1/bracket-1;right arm-1/servo holder-2,Coordinate System2,Axis2,right_shoulder_link,continuous,0.00836954205747536,-0.133606477325328,0.26465,0,0,0,base_link,-0.0143182523264597,0.999897488570861,0,0.2,0.5,-1.57,1.57,,,0.1,0.1,,,,
right_deltoid_link,0.128849589151912,0.0195646356207245,0.000593631418684515,0,0,0,0.153352889757505,3.28699113725282E-05,-2.2451947361191E-06,1.33745075987347E-08,0.000195379842766236,3.4238347332715E-10,0.000216767932708973,0,0,0,0,0,0,package://mark_1/meshes/right_deltoid_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mark_1/meshes/right_deltoid_link.STL,,right arm-1/bracket-2;right arm-1/ST3215-2/ST3215.step-1/金属舵盘（驱动）.step-1;right arm-1/ST3215-2/ST3215.step-1/金属舵盘（从动）.step-1;right arm-1/arm-1;right arm-1/bracket-3;right arm-1/servo holder-3;right arm-1/ST3215-3/ST3215.step-1/XG-ZIJI_16.step-1;right arm-1/ST3215-3/ST3215.step-1/ZK_122.step-1;right arm-1/ST3215-3/ST3215.step-1/SG-ZIJI_15.step-1,Coordinate System3,Axis2,right_deloid_joint,continuous,0.0260319094907936,-0.0181291282492522,0.0157130544878568,0.000772947059357683,-0.0538473113005892,-4.16010184655721E-05,right_shoulder_link,-0.0143390356701151,0.999897190743154,0,,,,,,,,,,,,
right_forearm_link,0.122134336053526,0.0125693022043887,-0.000678845915413492,0,0,0,0.14814148096472,3.68661962093057E-05,8.23700139549119E-06,-1.01061034843873E-09,0.000189487070117688,-6.01673996661595E-09,0.000215257194207411,0,0,0,0,0,0,package://mark_1/meshes/right_forearm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mark_1/meshes/right_forearm_link.STL,,right arm-1/bracket-4;right arm-1/arm-2;right arm-1/servo holder-4;right arm-1/ST3215-5/ST3215.step-1/XG-ZIJI_16.step-1;right arm-1/ST3215-5/ST3215.step-1/ZK_122.step-1;right arm-1/ST3215-5/ST3215.step-1/SG-ZIJI_15.step-1,Coordinate System4,Axis3,right_forearm_joint,continuous,0.23445123955499,0.0180119617798703,0.0197905658655673,-1.57079632678319,0.0538534786393583,-0.0151291696345527,right_deltoid_link,0.0538274515179134,0.998550251846689,0,,,,,,,,,,,,
right_wrist_link,0.0729999358896654,-0.000374534250136657,0.00260190098159474,0,0,0,0.0819274846186163,1.25837683608781E-05,4.68632542953194E-07,-2.24569336152737E-08,1.66271865379447E-05,-1.28377562701556E-06,8.20757200785382E-06,0,0,0,0,0,0,package://mark_1/meshes/right_wrist_link.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://mark_1/meshes/right_wrist_link.STL,,right arm-1/ST3215-5/ST3215.step-1/金属舵盘（驱动）.step-1;right arm-1/ST3215-5/ST3215.step-1/金属舵盘（从动）.step-1;right arm-1/bracket-5;right arm-1/Gripper-A_带隔离柱 v1-2,Coordinate System5,Axis_right_wrist_joint,right_wrist_joint,fixed,0.213139944643721,-0.00499437028651983,-0.00148091509216837,1.57252517997492,-0.0150502420287462,-0.0399168424621424,right_forearm_link,0,0,0,,,,,,,,,,,,
left_shoulder_link,0.0100820121963621,3.21565501376908E-05,0.0140763800097504,0,0,0,0.0416683528776036,4.14123051689716E-06,5.27090995006742E-08,-6.84021931497344E-09,8.06617329610891E-06,-3.53546700986392E-10,7.96379455038323E-06,0,0,0,0,0,0,package://mark_1/meshes/left_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mark_1/meshes/left_shoulder_link.STL,,left arm-1/bracket-1;left arm-1/ST3215-1/ST3215.step-1/金属舵盘（驱动）.step-1;left arm-1/ST3215-1/ST3215.step-1/金属舵盘（从动）.step-1;left arm-1/servo holder-2;left arm-1/ST3215-2/ST3215.step-1/XG-ZIJI_16.step-1;left arm-1/ST3215-2/ST3215.step-1/ZK_122.step-1;left arm-1/ST3215-2/ST3215.step-1/SG-ZIJI_15.step-1,Coordinate System6,Axis5,left_shoulder_joint,continuous,0.00836954205747529,0.125393522674672,0.26465,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
left_deltoid_link,0.124024733494955,0.0156228510438641,0.000558423480873482,0,0,0,0.153352891665706,3.2888200421224E-05,2.83065406830542E-06,1.33792715731048E-08,0.000195361559107541,-7.51714169902756E-11,0.000216767937999963,0,0,0,0,0,0,package://mark_1/meshes/left_deltoid_link.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://mark_1/meshes/left_deltoid_link.STL,,left arm-1/ST3215-2/ST3215.step-1/金属舵盘（从动）.step-1;left arm-1/ST3215-2/ST3215.step-1/金属舵盘（驱动）.step-1;left arm-1/bracket-2;left arm-1/arm-1;left arm-1/bracket-3;left arm-1/servo holder-3;left arm-1/ST3215-3/ST3215.step-1/SG-ZIJI_15.step-1;left arm-1/ST3215-3/ST3215.step-1/ZK_122.step-1;left arm-1/ST3215-3/ST3215.step-1/XG-ZIJI_16.step-1,Coordinate System7,Axis6,left_deltoid_joint,continuous,0.0303911380004462,-0.0190159079205942,0.0157130544878571,0.000150992773042568,0.00893980096423907,0,left_shoulder_link,0.016887124525697,0.999857402345581,0,,,,,,,,,,,,
left_forearm_link,0.120246108073193,0.0201297112705999,-0.000692209828605683,0,0,0,0.15003100677213,3.6493969163792E-05,-1.38773095772672E-06,-6.30423239864033E-10,0.000189991785391294,-6.068503799755E-09,0.00021530238152489,0,0,0,0,0,0,package://mark_1/meshes/left_forearm_link.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://mark_1/meshes/left_forearm_link.STL,,left arm-1/ST3215-3/ST3215.step-1/金属舵盘（驱动）.step-1;left arm-1/ST3215-3/ST3215.step-1/金属舵盘（从动）.step-1;left arm-1/bracket-4;left arm-1/arm-2;left arm-1/ST3215-5/ST3215.step-1/XG-ZIJI_16.step-1;left arm-1/ST3215-5/ST3215.step-1/ZK_122.step-1;left arm-1/ST3215-5/ST3215.step-1/SG-ZIJI_15.step-1;left arm-1/servo holder-4;left arm-1/ST3215-5/ST3215.step-1/金属舵盘（从动）.step-1,Coordinate System8,Axis7,left_forearm_joint,continuous,0.229522625960475,0.0107738621384627,0.0197554359440348,-1.57079632679212,-0.00894846270497469,-0.0440035216278062,left_deltoid_link,-0.00894834328925879,0.999959962774699,0,,,,,,,,,,,,
left_wrist_link,0.0736137145660912,-0.00518259162612339,-0.000617542616893119,0,0,0,0.081361435624521,1.25069415058608E-05,-9.49132113578202E-08,6.69815436451905E-08,1.6850744398768E-05,-1.63218337227666E-07,8.00570986524841E-06,0,0,0,0,0,0,package://mark_1/meshes/left_wrist_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mark_1/meshes/left_wrist_link.STL,,left arm-1/bracket-5;left arm-1/ST3215-5/ST3215.step-1/金属舵盘（驱动）.step-1;left arm-1/Gripper-A_带隔离柱 v1-2,Coordinate System9,Axis8,left_wrist_joint,continuous,0.213033328995519,0.00839228163252015,-0.00149738707278493,1.57252666288078,-0.0440527025150813,0.0228349161797588,left_forearm_link,-0.998933513376794,0.0440101507770613,-0.0139621803911481,,,,,,,,,,,,
neck_link,0.0449917227963332,0.0183036854439724,-0.00401375821834365,0,0,0,0.0411023044246906,3.98709197086215E-06,-1.30896849077331E-10,-5.55903517254238E-08,7.03835674550507E-06,1.8362131369825E-08,9.09062038282917E-06,0,0,0,0,0,0,package://mark_1/meshes/neck_link.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://mark_1/meshes/neck_link.STL,,Head-2/ST3215-1/ST3215.step-1/金属舵盘（驱动）.step-1;Head-2/head assembly-2/bracket-4;Head-2/head assembly-2/motor assembly-2/servo holder-1;Head-2/head assembly-2/motor assembly-2/ST3215-1/ST3215.step-1/SG-ZIJI_15.step-1;Head-2/head assembly-2/motor assembly-2/ST3215-1/ST3215.step-1/ZK_122.step-1;Head-2/head assembly-2/motor assembly-2/ST3215-1/ST3215.step-1/XG-ZIJI_16.step-1,Coordinate System10,Axis10,neck_joint,continuous,-0.056731944102393,-0.0191928309605353,0.34709664162935,0.00872664625997133,0,0.000609497858157523,base_link,0,0.999961923064171,-0.00872653549837362,,,,,,,,,,,,
